hausa;Hausa;Hausa;Hausa;;Hausa;;;;;;;;;x
kanuri;Kanuri;Kanuri;Kanuri;;Kanuri;;;;;;;;;x
zaghawa;Zaghawa;Zaghawa;Zaghawa;;Zaghawa;;;;;;;;;x
king_hausa;Mai;Mai;Mai;;Mai;;;;;;;;;x
king_kanuri;Mai;Mai;Mai;;Mai;;;;;;;;;x
king_zaghawa;Mai;Mai;Mai;;Mai;;;;;;;;;x
emperor_hausa;Mai;Mai;Mai;;Mai;;;;;;;;;x
emperor_kanuri;Mai;Mai;Mai;;Mai;;;;;;;;;x
emperor_zaghawa;Mai;Mai;Mai;;Mai;;;;;;;;;x
central_african;Central African;Central African;Central African;;Central African;;;;;;;;;x
west_african;West African;West African;West African;;West African;;;;;;;;;x
temple_baron_animism;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_count_animism;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_duke_animism;High Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_king_animism;Shaman-King;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_emperor_animism;Shaman-Emperor;Chaman;Schamane;;Chamán;;;;;;;;;x
MAI_KING;Mai;Mai;Mai;;Mai;;;;;;;;;x
MAI_KING_FOA;Mai;Mai;Mai;;Mai;;;;;;;;;x
mande;Mande;Mande;Mande;;Mande;;;;;;;;;x
jolof;Jolof;Wolof;Jolof;;Jolof;;;;;;;;;x
sosso;Sosso;Sosso;Sosso;;Sosso;;;;;;;;;x
BOQOR_KING;Boqor;Boqor;Boqor;;Boqor;;;;;;;;;x
BOQOR_KING_FOA;Boqor;Boqor;Boqor;;Boqor;;;;;;;;;x
temple_barony_of_monophysite;Bishopric of;Évêché de;Bistum von;;Obispado de;;;;;;;;;x
temple_county_of_monophysite;Prince-Bishopric of;Évêché princier de;Prinz-Bistum von;;Arzobispado Príncipe de;;;;;;;;;x
temple_duchy_of_monophysite;Prince-Archbishopric of;Archevêché princier de;Prinz-Erzbistum von;;Arzobispado Príncipe de;;;;;;;;;x
temple_kingdom_of_monophysite;Patriarchate of;Patriarcat de;Patriarchat von;;Patriarcado de;;;;;;;;;x
temple_king_monophysite;King-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_duke_monophysite;Prince-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_count_monophysite;Prince-Bishop;Prince évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
temple_baron_monophysite;Bishop;Évêque;Bischof;;Obispo;;;;;;;;;x
duke_ethiopian;Prince;Prince;Prince;;Prince;;;;;;;;;x
duchy_of_ethiopian;Principality of;Principality of;Principality of;;Principality of;;;;;;;;;x
SULTAN_KING;Sultan;Sultan;Sultan;;Sultan;;;;;;;;;x
SULTAN_KING_FOA;Sultan;Sultan;Sultan;;Sultan;;;;;;;;;x
