#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TECH_CASTLES;Infrastructure;;;;;;;;;;;;;x
TECH_CASTLES_DESC;Improved infrastructure makes supplying armies easier.;;;;;;;;;;;;;x
immortal;Immortal;;;;;;;;;;;;;x
immortal_desc;Immortals will never succumb to old age, but they can still die from other causes.;;;;;;;;;;;;;x
formation_of_rum;Newly Formed Realm;;;;;;;;;;;;;x
war_torn;War-torn;;;;;;;;;;;;;x
bulgarian_unrest;Bulgarian Unrest;;;;;;;;;;;;;x
bulgarian_unrest_2;Bulgarian Unrest;;;;;;;;;;;;;x
culture_clash;Culture Clash;;;;;;;;;;;;;x
baqt;Baqt;;;;;;;;;;;;;x
sahara;Sahara;;;;;;;;;;;;;x
rum;Ignore the man behind the curtain;;;;;;;;;;;;;x
#TRIGGERED MODIFIERS;;;;;;;;;;;;;;x
religious_defense;Religious Defense;Religious Defense;Religious Defense;;Religious Defense;;;;;;;;;x
desc_religious_defense;We're defending against a holy war. Everyone is doing what they can to fend off the invaders.;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;;;;;;;;;x
disorganized;Disorganized;Disorganized;Disorganized;;Disorganized;;;;;;;;;x
desc_disorganized;We're rather disorganized at the moment.;;We're rather disorganized at the moment.;;We're rather disorganized at the moment.;;;We're rather disorganized at the moment.;;;;;;;;;x
muslim_merchant_republic;Muslim Merchant Republic;;;;;;;;;;;;;x
desc_muslim_merchant_republic;Historically, Muslims never become a major trading force in the Mediterranean.;;;;;;;;;;;;;x
low_decadence;Low Decadence;;;;;;;;;;;;;x
desc_low_decadence;Our decadence is low, making everyone like us more.;;;;;;;;;;;;;x
medium_decadence;Decadent;;;;;;;;;;;;;x
desc_medium_decadence;We are decadent and many are therefore questioning our legitimate rule;;;;;;;;;;;;;x
high_decadence;Highly Decadent;;;;;;;;;;;;;x
decentralized_hre;Decentralized HRE;;;;;;;;;;;;;x
theme_system;Decayed Theme System;;;;;;;;;;;;;x
theme_system_2;Intact Theme System;;;;;;;;;;;;;x
desc_high_decadence;We are highly decadent and many are therefore questioning our legitimate rule;;;;;;;;;;;;;x
#COOLDOWNS;;;;;;;;;;;;;;x
launched_subjugation;Subjugation Cooldown;;;;;;;;;;;;;x
ca_revoke_cooldown;Crown law revocation cooldown;;;;;;;;;;;;;x
ca_revoke_cooldown_desc;Crown authority laws were recently revoked due to a faction ultimatum or revolt. It will take time before the realm's nobles are willing to support the revocation of their remaining laws.;;;;;;;;;;;;;x
ca_revoke_cooldown_ctt;§Y[This.GetTitledFirstName]§!'s realm enters a crown law revocation cooldown period.\n;;;;;;;;;;;;;x
holy_war_cooldown_ctt;§Y[This.GetBestName]§! won't be able to declare holy war for another §Y5 years§!.\n;;;;;;;;;;;;;x
#CB CUSTOM TOOLTIPS;;;;;;;;;;;;;;x
vassalize_or_take_under_title_ctt;§Y[Root.GetTitledFirstName]§! takes or vassalizes all titles in the §Y[This.GetFullBaseName]§! belonging to §Y[From.GetTitledFirstName]§!.\n;§Y[Root.GetTitledFirstName]§! capture tous les territoires occupés.\n§Y[Root.GetTitledFirstName]§! prend ou vassalise tous les titres du §Y[This.GetFullBaseName]§! appartenant à §Y[From.GetTitledFirstName]§!.\n;§Y[Root.GetTitledFirstName]§! nimmt alles besetzte Land in Besitz.\n§Y[Root.GetTitledFirstName]§! übernimmt oder vasallisiert alle Titel in §Y[This.GetFullBaseName]§!, die zu §Y[From.GetTitledFirstName]§! gehören.\n;;§Y[Root.GetTitledFirstName]§! toma todos los territorios ocupados.\n§Y[Root.GetTitledFirstName]§! toma o avasalla todos los títulos de §Y[This.GetFullBaseName]§! que pertenecen a §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x
cb_invasion_succ_ctt;§Y[Root.GetTitledFirstName]§! gains the §Y[This.GetFullBaseName]§!.\nIf §Y[From.GetTitledFirstName]§! becomes a vassal of §Y[Root.GetTitledFirstName]§!, §Y[From.GetSheHe]§! will be imprisoned.\n;;;;;;;;;;;;;x
cb_viking_invasion_succ_ctt;§Y[Root.GetTitledFirstName]§! takes all occupied territory.\n§Y[Root.GetTitledFirstName]§! takes or vassalizes all titles in the §Y[This.GetFullBaseName]§! belonging to §Y[From.GetTitledFirstName]§!.\If §Y[From.GetTitledFirstName]§! becomes a vassal of §Y[Root.GetTitledFirstName]§!, §Y[From.GetSheHe]§! will be imprisoned.\nThe [Root.Culture.GetName] host will permanently settle throughout the §Y[This.GetFullBaseName]§!, convert the dominant culture and religion in one province, and fully replenish the levies of settlements throughout the new realm with their own.\n;;;;;;;;;;;;;x
#AUTONOMY FACTION;;;;;;;;;;;;;;x
opinion_refused_ultimatum;Refused ultimatum;;;;;;;;;;;;;x
opinion_recently_refused_ultimatum;Recently refused ultimatum;;;;;;;;;;;;;x
opinion_accepted_ultimatum;Accepted ultimatum;;;;;;;;;;;;;x
opinion_betrayed_autonomy_faction;Betrayed faction;;;;;;;;;;;;;x
reduced_obligations;Reduced obligations;;;;;;;;;;;;;x
af_mil_cooperation_t1;Military cooperation;;;;;;;;;;;;;x
af_eco_cooperation_t1;Economic cooperation;;;;;;;;;;;;;x
autonomy_commended;Commended by vassals;;;;;;;;;;;;;x
