#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
syphilitic;Gonorrhea;Syphilitique;Syphilitisch;;Sifilítico;;;;;;;;;x
syphilitic_desc;This character suffers from Gonorrhea.;Ce personnage a contracté une maladie vénérienne particulièrement grave.;Dieser Charakter leidet an der Geschlechtskrankheit 'Lues', später als Syphilis bekannt.;;Este personaje padece de lues, la infección venérea más tarde conocida como sífilis.;;;;;;;;;x
syphilitic_death;of Gonorrhea;de syphilis;an Syphilis;;de sífilis;;;;;;;;;x
#Russian titles;;;;;;;;;;;;;;x
king_russian;Grand Duke;Grand Duke;Grand Duke;;Grand Duke;;;;;;;;;x
king_title_ruler_consort_russian;Grand Duke;Grand Duke;Grand Duke;;Grand Duke;;;;;;;;;x
king_female_russian;Grand Duchess;Grand Duchess;Grand Duchess;;Grand Duchess;;;;;;;;;x
king_title_ruler_consort_female_russian;Grand Duchess;Grand Duchess;Grand Duchess;;Grand Duchess;;;;;;;;;x
#German titles;;;;;;;;;;;;;;x
emperor_female_german;Kaiserin;Kaiserin;Kaiserin;;Emperatriz;;;;;;;;;x
emperor_title_ruler_consort_german;Kaiser;Kaiser;Kaiser;;Káiser;;;;;;;;;x
emperor_title_ruler_consort_female_german;Kaiserin;Kaiserin;Kaiserin;;Emperatriz;;;;;;;;;x
#Female bishop/burgher titles;;;;;;;;;;;;;;x
temple_emperor_female_christian;Empress-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
temple_king_female_catholic;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_king_female_orthodox;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_duke_female_catholic;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_duke_female_orthodox;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_count_female_catholic;Princess-Bishop;Prince évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
city_emperor_female;Grand Princess;Grand prince;Grand Prinz;;Gran Príncipe;;;;;;;;;x
#Titles missing from vanilla;;;;;;;;;;;;;;x
count_title_ruler_consort_saxon;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_english;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_scottish;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_irish;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_welsh;Earl;Comte;Graf;;Conde;;;;;;;;;x
emperor_title_ruler_consort_altaic;Khagan;Khagan;Khagan;;Gran Kan;;;;;;;;;x
emperor_title_ruler_consort_female_altaic;Khatun;Khatoun;Khatun;;Khatun;;;;;;;;;x
king_title_ruler_consort_altaic;Khan;Khan;Khan;;Kan;;;;;;;;;x
king_title_ruler_consort_female_altaic;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x
duke_title_ruler_consort_greek;Doux;Doux;Doux;;Duque;;;;;;;;;x
king_title_ruler_consort_greek;Despot;Despote;Despot;;Déspota;;;;;;;;;x
emperor_title_ruler_consort_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x
emperor_title_ruler_consort_russian;Tsar;Tsar;Zar;;Zar;;;;;;;;;x
emperor_title_ruler_consort_female_russian;Tsaritsa;Tsarine;Zarin;;Zarina;;;;;;;;;x
baron_title_ruler_consort_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
count_title_ruler_consort_arabic;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x
duke_title_ruler_consort_arabic;Emir;Émir;Emir;;Emir;;;;;;;;;x
duke_title_ruler_consort_arabic_female;Emira;Émira;Emirin;;Emira;;;;;;;;;x
king_title_ruler_consort_arabic;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
king_title_ruler_consort_arabic_female;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
baron_title_ruler_consort_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x
count_title_ruler_consort_turkish;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x
duke_title_ruler_consort_turkish;Beylerbey;Beylerbey;Beylerbey;;Gobernador de gobernadores;;;;;;;;;x
king_title_ruler_consort_turkish;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
emperor_title_ruler_consort_turkish;Padishah;Padishah;Padishah;;Emperador Padishah;;;;;;;;;x
baron_title_ruler_consort_iranian;Muqtab;Muqtab;Muqtab;;Muqtab iraní;;;;;;;;;x
count_title_ruler_consort_iranian;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
duke_title_ruler_consort_iranian;Emir;Émir;Emir;;Emir;;;;;;;;;x
king_title_ruler_consort_iranian;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
emperor_title_ruler_consort_iranian;Shahanshah;Shahanshah;Shahanshah;;Rey de reyes;;;;;;;;;x
baron_title_ruler_consort_mongol;Taishi;Taishi;Taishi;;Taishi mongol;;;;;;;;;x
count_title_ruler_consort_mongol;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
duke_title_ruler_consort_mongol;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_title_ruler_consort_mongol_female;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_title_ruler_consort_pagan_group;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_title_ruler_consort_norse_pagan;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x
count_title_ruler_consort_pagan_group;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
baron_title_ruler_consort_pagan_group;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_title_ruler_consort_norse_pagan;Lord;Seigneur;Fürst;;Señor;;;;;;;;;x
temple_emperor_christian;Emperor-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
emperor_turkish;Sultan;Sultan;Sultan;;Sultan;;;;;;;;;x
empire_turkish;Sultanate;Sultan;Sultan;;Sultan;;;;;;;;;x
empire_of_turkish;Sultanate of;Sultan;Sultan;;Sultan;;;;;;;;;x
