#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
italian_group;Italian;;;;;;;;;x
PROV156;Lugo;Lugo;Lugo;;Lugo;;;;;;;;;x
PROV157;Pontevedra;Pontevedra;Pontevedra;;Pontevedra;;;;;;;;;x
PROV792;Chiggre;Chiggre;Chiggre;;Chiggre;;;;;;;;;x
PROV793;Aniba;Aniba;Aniba;;Aniba;;;;;;;;;x
PROV873;Zeila;Zeila;Zeila;;Zeila;;;;;;;;;x
PROV876;Bahr;Bahr;Bahr;;Bahr;;;;;;;;;x
PROV877;Suakin;Suakin;Suakin;;Suakin;;;;;;;;;x
PROV878;Faras;Faras;Faras;;Faras;;;;;;;;;x
PROV879;Dongola;Dongola;Dongola;;Dongola;;;;;;;;;x
PROV880;Gezira;Gezira;Gezira;;Gezira;;;;;;;;;x
PROV881;Welega;Welega;Welega;;Welega;;;;;;;;;x
PROV882;Shewa;Shewa;Shewa;;Shewa;;;;;;;;;x
PROV884;Lasta;Lasta;Lasta;;Lasta;;;;;;;;;x
PROV911;Namur;Namur;Namen;;Namur;;;;;;;;;x
PROV912;Limburg;Limbourgh;Limburg;;Limburg;;;;;;;;;x
PROV913;Zutphen;Zutphen;Zutphen;;Zutphen;;;;;;;;;x
PROV914;Oversticht;Overstich;Oversticht;;Oversticht;;;;;;;;;x
PROV915;La Roche;La Rochy;La Roche;;La Roche;;;;;;;;;x
PROV916;Chiny;Chiny;Chiny;;Chiny;;;;;;;;;x
PROV917;Adal;Adal;Adal;;Adal;;;;;;;;;x
PROV918;Sikasso;Sikasso;Sikasso;;Sikasso;;;;;;;;;x
PROV919;Gao;Gao;Gao;;Gao;;;;;;;;;x
PROV920;Timbuktu;Timbuktu;Timbuktu;;Timbuktu;;;;;;;;;x
PROV921;Wagadou;Wagadou;Wagadou;;Wagadou;;;;;;;;;x
PROV922;Tankodogo;Tankodogo;Tankodogo;;Tankodogo;;;;;;;;;x
PROV923;Koudougu;Koudougu;Koudougu;;Koudougu;;;;;;;;;x
PROV924;Taghaza;Taghaza;Taghaza;;Taghaza;;;;;;;;;x
PROV925;Kirina;Kirina;Kirina;;Kirina;;;;;;;;;x
PROV926;Araouane;Araouane;Araouane;;Araouane;;;;;;;;;x
PROV927;Auoudagast;Auoudagast;Auoudagast;;Auoudagast;;;;;;;;;x
PROV928;Oualata;Oualata;Oualata;;Oualata;;;;;;;;;x
PROV929;Doumbi Saleh;Doumbi Saleh;Doumbi Saleh;;Doumbi Saleh;;;;;;;;;x
PROV936;Waalo;Waalo;Waalo;;Waalo;;;;;;;;;x
PROV937;Cayor;Cayor;Cayor;;Cayor;;;;;;;;;x
PROV938;Linguere;Linguere;Linguere;;Linguere;;;;;;;;;x
PROV939;Saloum;Saloum;Saloum;;Saloum;;;;;;;;;x
PROV940;Baol;Baol;Baol;;Baol;;;;;;;;;x
PROV941;El Aaiun;El Aaiun;El Aaiun;;El Aaiun;;;;;;;;;x
PROV942;Boujdour;Boujdour;Boujdour;;Boujdour;;;;;;;;;x
PROV943;Dakhla;Dakhla;Dakhla;;Dakhla;;;;;;;;;x
PROV944;Bir Gandouz;Bir Gandouz;Bir Gandouz;;Bir Gandouz;;;;;;;;;x
PROV945;Yaresna;Yaresna;Yaresna;;Yaresna;;;;;;;;;x
PROV946;Ghiryu;Ghiryu;Ghiryu;;Ghiryu;;;;;;;;;x
PROV947;Niani;Niani;Niani;;Niani;;;;;;;;;x
PROV948;Doba'a;Doba'a;Doba'a;;Doba'a;;;;;;;;;x
PROV949;Napata;Napata;Napata;;Napata;;;;;;;;;x
PROV950;Butana;Butana;Butana;;Butana;;;;;;;;;x
PROV951;Meroe;Meroe;Meroe;;Meroe;;;;;;;;;x
PROV952;Soba;Soba;Soba;;Soba;;;;;;;;;x
PROV953;Barka;Barka;Barka;;Barka;;;;;;;;;x
PROV954;Aidhab;Aidhab;Aidhab;;Aidhab;;;;;;;;;x
PROV955;Damot;Damot;Damot;;Damot;;;;;;;;;x
PROV956;Hadiya;Hadiya;Hadiya;;Hadiya;;;;;;;;;x
PROV957;Ifat;Ifat;Ifat;;Ifat;;;;;;;;;x
PROV958;Aprutium;Les Abruzzes;Aprutium;;Abruzos;;;;;;;;;x;
PROV959;Suðisland;Suðisland;Suðisland;;Suðisland;;;;;;;;;x
PROV960;Tudela;Tudela;Tudela;;Tudela;;;;;;;;;x
PROV961;Coruña;Coruña;Coruña;;Coruña;;;;;;;;;x
PROV962;Huesca;Huesca;Huesca;;Huesca;;;;;;;;;x
PROV963;Djenne;Djenne;Djenne;;Djenne;;;;;;;;;x
PROV964;Sama;Sama;Sama;;Sama;;;;;;;;;x
PROV965;Morfil;Morfil;Morfil;;Morfil;;;;;;;;;x
PROV966;Matam;Matam;Matam;;Matam;;;;;;;;;x
PROV967;Gambia;Gambia;Gambia;;Gambia;;;;;;;;;x
PROV968;Tabacounda;Tabacounda;Tabacounda;;Tabacounda;;;;;;;;;x
PROV969;Cabo de Finisterre;Cap Finisterre;Finisterre;;Cabo de Finisterre;;;;;;;;;x
PROV970;Bodensee;Lac de Constance;Bodensee;;Bodensee;;;;;;;;;x
PROV971;Kara-Bogaz Gol;Kara-Bogaz Gol;Kara-Bogaz Gol;;Kara-Bogaz Gol;;;;;;;;;x
PROV972;Waddenzee;Waddenzee;Waddenzee;;Waddenzee;;;;;;;;;x
PROV973;Bay of Biscay;Golfe de Gascogne;Biskaya;;Bahía de Vizcaya;;;;;;;;;x
PROV974;Donegal Bay;Baie de Donegal;Donegal Bay;;Bahía de Donegal;;;;;;;;;x
PROV975;Sea of Canarias;Mer des Canaries;See von Canarias;;Mar de Canarias;;;;;;;;;x
PROV976;Bretagne Coast;Côte de Bretagne;Bretagneküste;;Costa de Bretaña;;;;;;;;;x
PROV977;Atlantic;Atlantique;Atlantik;;Atlántico;;;;;;;;;x
PROV978;Tiveriade Lake;Lac de Tibériade;Tiveriade-See;;Lago de Tiberíades;;;;;;;;;x
PROV979;Portugal Coast;Côte du Portugal;Küste von Portugal;;Costa de Portugal;;;;;;;;;x
PROV980;Golfo de Cadiz;Golfe de Cadix;Golf von Cadiz;;Golfo de Cádiz;;;;;;;;;x
PROV981;Coast of Iceland;Côte d'Islande;Küste von Island;;Costa de Islandia;;;;;;;;;x
PROV982;Dead Sea;Mer Morte;Totes Meer;;Mar Muerto;;;;;;;;;x
PROV983;North Atlantic;Atlantique Nord;Nordatlantik;;Atlántico Norte;;;;;;;;;x
PROV984;North Atlantic;Atlantique Nord;Nordatlantik;;Atlántico Norte;;;;;;;;;x
PROV985;North Sea;Mer du Nord;Nordsee;;Mar del Norte;;;;;;;;;x
PROV986;North Sea;Mer du Nord;Nordsee;;Mar del Norte;;;;;;;;;x
PROV987;North Sea;Mer du Nord;Nordsee;;Mar del Norte;;;;;;;;;x
PROV988;North Sea;Mer du Nord;Nordsee;;Mar del Norte;;;;;;;;;x
PROV989;Sea of Shetland;Mer des Shetland;Shetlandsee;;Mar de Shetland;;;;;;;;;x
PROV990;Bantry Bay;Baie de Bantry;Bantry Bay;;Bahía Bantry;;;;;;;;;x
PROV991;Ponant;Ponant;Ponant;;Ponant;;;;;;;;;x
PROV1017;Western Cyclades;Cyclades Occidentales;West-Kykladen;;Cícladas del oeste;;;;;;;;;x
PROV1018;Päijänne;Päijänne;Päijänne;;Päijänne;;;;;;;;;x
PROV1019;Irish Sea;Mer d'Irlande;Irische See;;Mar de Irlanda;;;;;;;;;x
PROV1020;Western Mediterranean;Méditerranée Occidentale;Westliches Mittelmeer;;Mediterráneo del Oeste;;;;;;;;;x
PROV1021;Golfo de Valencia;Golfe de Valence;Golf von Valencia;;Golfo de Valencia;;;;;;;;;x
PROV1022;Islas Baleares;Îles Baléares;Balearen;;Islas Baleares;;;;;;;;;x
PROV1023;Northern Red Sea;Northern Red Sea;Northern Red Sea;;Northern Red Sea;;;;;;;;;x
PROV1024;Southern Red Sea;Southern Red Sea;Southern Red Sea;;Southern Red Sea;;;;;;;;;x
PROV1025;Western Arabian Sea;Western Arabian Sea;Western Arabian Sea;;Western Arabian Sea;;;;;;;;;x
PROV1026;Eastern Arabian Sea;Eastern Arabian Sea;Eastern Arabian Sea;;Eastern Arabian Sea;;;;;;;;;x
PROV1027;Gulf of Oman;Gulf of Oman;Gulf of Oman;;Gulf of Oman;;;;;;;;;x
PROV1028;Persian Gulf;Persian Gulf;Persian Gulf;;Persian Gulf;;;;;;;;;x
PROV1029;Mediterranean Sea;Mer Méditerranée;Mittelmeer;;Mar Mediterráneo  ;;;;;;;;;x
PROV1030;Golfe du Lion;Golfe du Lion;Golfe du Lion;;Golfo de León;;;;;;;;;x
PROV1031;Lake Léman;Lac Léman;Léman-See;;Lago Lemán;;;;;;;;;x
PROV1032;Côte d'Azur;Côte d'Azur;Côte d'Azur;;Costa Azul;;;;;;;;;x
PROV1033;Ligurian Sea;Mer Ligurienne;Ligurisches Meer;;Mar de Liguria;;;;;;;;;x
PROV1034;Tyrrhenian Sea;Mer Tyrrhénienne;Tyrrhenisches Meer;;Mar Tirreno;;;;;;;;;x
PROV1035;Coast of Sardegna;Côte de Sardaigne;Sardegna-Küste;;Costa de Cerdeña;;;;;;;;;x
PROV1036;Golfo di Napoli;Golfe de Naples;Golf von Neapel;;Golfo de Nápoles;;;;;;;;;x
PROV1037;Strait di Messina;Détroit de Messine;Messina-Straße;;Estrecho de Mesina;;;;;;;;;x
PROV1038;Golfe de Hammamet;Golfe de Hammamet;Golf von Hammamet;;Golfo de Hammamet;;;;;;;;;x
PROV1039;Malta Channel;Canal de Malte;Maltakanal;;Canal de Malta;;;;;;;;;x
PROV1040;Gulf of Sidra;Golfe de Sidra;Golf von Sidra;;Golfo de Sidra;;;;;;;;;x
PROV1041;Golfo di Taranto;Golfe de Taranto;Golf von Tarent;;Golfo de Otranto;;;;;;;;;x
PROV1042;Ionian Sea;Mer Ionienne;Ionisches Meer;;Mar Jónico;;;;;;;;;x
PROV1043;Strait of Otranto;Détroit d'Otranto;Straße von Otranto;;Estrecho de Otranto;;;;;;;;;x
PROV1044;Adriatic Sea;Mer Adriatique;Adria;;Mar Adriático;;;;;;;;;x
PROV1045;Gulf of Venice;Golfe de Venise;Golf von Venedig;;Golfo de Venecia;;;;;;;;;x
PROV1046;Aegean Sea;Mer Egée;Ägäis;;Mar Egeo  ;;;;;;;;;x
PROV1047;Cyclades;Cyclades;Kykladen;;Cícladas;;;;;;;;;x
PROV1048;Sea of Crete;Mer de Crète;See von Kreta;;Mar de Creta;;;;;;;;;x
PROV1049;Coast of Egypt;Côte d'Égypte;Ägyptische Küste;;Costa de Egipto;;;;;;;;;x
PROV1050;Nile Delta;Delta du Nil;Nildelta;;Delta del Nilo;;;;;;;;;x
PROV1051;Sea of Palestine;Mer de Palestine;Palästinische See;;Mar de Palestina;;;;;;;;;x
PROV1052;Eastern Mediterranean;Méditerranée Orientale;Östliches Mittelmeer;;Mediterráneo del Este;;;;;;;;;x
PROV1053;Western Aegean Sea;Mer Egée Occidentale;Westliche Ägäis;;Mar Egeo occidental;;;;;;;;;x
PROV1054;Näsijärvi;Näsijärvi;Näsijärvi;;Näsijärvi;;;;;;;;;x
PROV1055;Aral Sea;Mer d'Aral;Aralsee;;Mar Aral;;;;;;;;;x
PROV1056;Levantine Sea;Mer Levantine;Levantinisches Meer;;Mar levantino;;;;;;;;;x
PROV1057;Cilician Sea;Mer de Sicile;Kilikisches Meer;;Mar de Cilicia;;;;;;;;;x
PROV1058;Sea of Marmara;Mer de Marmara;See von Marmara;;Mar de Mármara;;;;;;;;;x
PROV1059;Gulf of Varna;Golfe de Varna;Golf von Varna;;Golfo de Varna;;;;;;;;;x
PROV1060;Coast of Taurida;Côte de Taurida;Küste von Taurida;;Costa de Taurida;;;;;;;;;x
PROV1061;Black Sea;Mer Noire;Schwarzes Meer;;Mar Negro;;;;;;;;;x
PROV1062;Coast of Kolkhida;Côte de Kolkhida;Küste von Kolkhida;;Costa de Kolkhida;;;;;;;;;x
PROV1063;Caspian Sea;Mer Caspienne;Kaspisches Meer;;Mar Caspio;;;;;;;;;x
PROV1064;Coast of Morocco;Côte du Maroc;Küste von Marokko;;Costa de Marruecos;;;;;;;;;x
PROV1065;Strait of Gibraltar;Détroit de Gibraltar;Straße von Gibraltar;;Estrecho de Gibraltar;;;;;;;;;x
PROV1066;Saimaa;Saimaa;Saimaa;;Saimaa;;;;;;;;;x
PROV1067;Kallavesi;Kallavesi;Kallavesi;;Kallavesi;;;;;;;;;x
PROV1068;Oulujärvi;Oulujärvi;Oulujärvi;;Oulujärvi;;;;;;;;;x
PROV1069;Ladoga Lake;Lac Ladoga;Ladogasee;;Lago Ladoga;;;;;;;;;x
PROV1070;Daugava;Daugava;Daugava;;Daugava;;;;;;;;;x
PROV1071;Mälaren;Mälaren;Mälaren;;Mälaren;;;;;;;;;x
